cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	5164	2.57426	0.5	-17.9272	31.1556	0	-0.537786	-0.843081	0	None	None
ChainingRodShaped	4926	3.42519	0.5	21.7605	44.5849	0	0.0109402	0.99994	0	None	None
ChainingRodShaped	4628	3.52019	0.5	-15.6127	42.4482	0	0.968765	0.247982	0	4629	None
ChainingRodShaped	5038	2.78445	0.5	-2.75214	37.2037	0	-0.987393	-0.158287	0	None	None
ChainingRodShaped	4666	4.7034	0.5	-9.76866	45.4533	0	0.549164	0.835715	0	5230	None
ChainingRodShaped	5130	2.33524	0.5	35.2882	43.8723	0	0.953143	-0.302519	0	5131	None
ChainingRodShaped	5076	2.80821	0.5	37.117	42.5634	0	-0.294864	-0.955539	0	None	None
ChainingRodShaped	5174	2.40626	0.5	9.30919	29.7011	0	-0.91739	-0.397989	0	None	None
ChainingRodShaped	4812	4.46264	0.5	1.5291	13.1618	0	-0.921852	0.387542	0	None	None
ChainingRodShaped	5040	2.99366	0.5	28.3781	21.9341	0	0.271435	-0.962457	0	None	None
ChainingRodShaped	4712	3.44796	0.5	21.9992	50.6415	0	-0.472654	0.881248	0	4713	None
ChainingRodShaped	4670	3.91471	0.5	-27.9538	57.3762	0	0.273762	0.961798	0	5114	None
ChainingRodShaped	5190	2.14434	0.5	-19.243	37.0411	0	0.777644	-0.628705	0	None	None
ChainingRodShaped	5154	2.13263	0.5	19.5461	29.8863	0	-0.0839091	-0.996473	0	5155	None
ChainingRodShaped	5102	2.69364	0.5	-8.42785	22.4941	0	0.181888	-0.983319	0	None	None
ChainingRodShaped	4650	4.98097	0.5	-7.07171	38.521	0	-0.868126	-0.496344	0	None	None
ChainingRodShaped	4634	4.64751	0.5	9.45683	53.9391	0	-0.0168489	0.999858	0	None	None
ChainingRodShaped	4758	4.65284	0.5	-34.93	43.28	0	-0.0862265	0.996276	0	4759	None
ChainingRodShaped	4626	3.43053	0.5	-33.9825	55.4741	0	-0.0189393	0.999821	0	4627	None
ChainingRodShaped	4762	3.57694	0.5	-13.0794	44.1689	0	0.0839577	-0.996469	0	4763	None
ChainingRodShaped	5054	3.34834	0.5	32.0382	46.4591	0	0.88655	-0.462632	0	None	None
ChainingRodShaped	4880	3.55229	0.5	-13.5662	19.9655	0	-0.967092	0.254428	0	4881	None
ChainingRodShaped	4782	4.86747	0.5	-3.72384	43.914	0	-0.109566	-0.99398	0	None	None
ChainingRodShaped	4916	4.71385	0.5	5.90082	39.6192	0	-0.980922	-0.194402	0	None	None
ChainingRodShaped	4476	4.625	0.5	-20.2283	25.6042	0	0.456262	-0.889846	0	4768	None
ChainingRodShaped	4850	4.51165	0.5	-21.0715	21.4637	0	0.607895	-0.794017	0	None	None
ChainingRodShaped	4658	4.27446	0.5	33.5482	32.436	0	-0.835052	-0.550171	0	4659	None
ChainingRodShaped	4924	3.37814	0.5	29.7352	22.5778	0	-0.0158907	-0.999874	0	None	None
ChainingRodShaped	5050	2.73096	0.5	5.64611	38.5797	0	0.979063	0.203559	0	None	None
ChainingRodShaped	4934	3.43509	0.5	-15.9545	13.9438	0	0.0304091	-0.999538	0	4935	None
ChainingRodShaped	4776	3.96407	0.5	-5.03563	22.9155	0	-0.609911	-0.79247	0	4777	None
ChainingRodShaped	4462	4.40993	0.5	-31.8366	27.0195	0	-0.0514388	-0.998676	0	4790	None
ChainingRodShaped	5014	3.01532	0.5	-7.27611	21.7222	0	0.184308	-0.982868	0	5015	None
ChainingRodShaped	4710	4.2156	0.5	9.3693	38.3686	0	0.661124	0.750276	0	4711	None
ChainingRodShaped	4806	3.8675	0.5	13.5634	27.8594	0	0.942527	-0.334129	0	None	None
ChainingRodShaped	5072	2.25975	0.5	31.9393	26.2745	0	0.20357	-0.97906	0	5073	None
ChainingRodShaped	5138	2.39059	0.5	4.38935	54.9803	0	0.579223	0.815169	0	None	None
ChainingRodShaped	5008	3.98932	0.5	-29.6315	45.4059	0	-0.0552379	0.998473	0	None	None
ChainingRodShaped	4912	4.21939	0.5	12.1476	45.6237	0	0.447158	-0.894455	0	None	None
ChainingRodShaped	5104	2.21341	0.5	-18.8435	43.293	0	0.904183	-0.427145	0	5105	None
ChainingRodShaped	5046	3.55728	0.5	-0.997241	14.9617	0	-0.987741	-0.156104	0	None	None
ChainingRodShaped	5022	2.7151	0.5	11.676	27.1586	0	-0.696134	0.717912	0	None	None
ChainingRodShaped	5094	2.36624	0.5	-36.8893	44.7598	0	0.659788	0.751451	0	5095	None
ChainingRodShaped	4698	3.59481	0.5	-36.5933	46.6542	0	0.999157	-0.041041	0	4699	None
ChainingRodShaped	5202	2.14968	0.5	-11.7761	44.5364	0	-0.27143	-0.962458	0	5203	None
ChainingRodShaped	4988	3.12241	0.5	-37.4622	47.6863	0	0.999177	-0.0405642	0	None	None
ChainingRodShaped	4886	4.90148	0.5	-18.9807	45.3454	0	0.707316	-0.706897	0	None	None
ChainingRodShaped	4958	4.05047	0.5	21.3578	39.8924	0	0.0764189	0.997076	0	None	None
ChainingRodShaped	4908	3.66703	0.5	17.1241	37.3616	0	-0.722908	-0.690944	0	None	None
ChainingRodShaped	4814	2.96913	0.5	19.1343	36.5806	0	-0.0799679	-0.996797	0	4815	None
ChainingRodShaped	4724	4.0581	0.5	16.2799	33.8953	0	0.913184	0.407547	0	4725	None
ChainingRodShaped	4618	4.83304	0.5	-12.8578	20.8057	0	-0.967098	0.254405	0	4619	None
ChainingRodShaped	4636	4.00829	0.5	45.704	40.8364	0	0.997636	0.0687222	0	4637	None
ChainingRodShaped	4778	4.24707	0.5	-25.9756	34.668	0	-0.456432	0.889758	0	4779	None
ChainingRodShaped	5000	4.13916	0.5	-2.00135	40.0497	0	-0.745301	-0.666728	0	None	None
ChainingRodShaped	4620	4.64819	0.5	-5.65433	36.8942	0	-0.518287	-0.855207	0	5198	None
ChainingRodShaped	5136	2.26177	0.5	51.8242	45.2165	0	0.884526	-0.466491	0	5137	None
ChainingRodShaped	5236	2.03189	0.5	17.6749	47.4496	0	0.267758	-0.963486	0	None	None
ChainingRodShaped	4998	2.59381	0.5	38.9034	47.4473	0	0.692182	-0.721723	0	4999	None
ChainingRodShaped	5142	2.61987	0.5	10.0226	25.836	0	0.267588	0.963533	0	None	None
ChainingRodShaped	4792	3.8563	0.5	-21.7027	45.7439	0	0.903418	-0.42876	0	None	None
ChainingRodShaped	5218	2.16532	0.5	-24.98	47.8704	0	0.586612	-0.809868	0	None	None
ChainingRodShaped	5240	2.03117	0.5	12.0067	23.5639	0	-0.394199	0.919025	0	None	None
ChainingRodShaped	4804	3.58136	0.5	33.1891	53.4099	0	0.691644	-0.722239	0	4805	4999
ChainingRodShaped	4946	3.15917	0.5	18.7333	43.8769	0	-0.0859617	-0.996298	0	None	None
ChainingRodShaped	4760	4.97855	0.5	40.0487	51.4246	0	0.884725	-0.466114	0	4761	4687
ChainingRodShaped	5208	2.09355	0.5	-0.0694446	45.9807	0	-0.526527	-0.850158	0	5209	5199
ChainingRodShaped	5036	2.8449	0.5	1.08455	45.9709	0	-0.526623	-0.850099	0	None	None
ChainingRodShaped	4722	4.95793	0.5	-21.0503	25.0446	0	-0.454811	0.890588	0	5150	4779
ChainingRodShaped	4874	3.63693	0.5	35.707	40.1586	0	0.997853	0.0654947	0	4875	4637
ChainingRodShaped	4882	3.68924	0.5	-3.56356	18.3868	0	-0.968667	0.248361	0	4883	4619
ChainingRodShaped	4788	3.26357	0.5	6.86962	29.6753	0	0.910481	0.41355	0	4789	4725
ChainingRodShaped	5188	2.17443	0.5	19.7658	44.4637	0	-0.0779719	-0.996956	0	5189	4815
ChainingRodShaped	4898	4.78605	0.5	14.9406	41.4782	0	-0.0843057	-0.99644	0	None	None
ChainingRodShaped	4954	3.41057	0.5	23.0179	40.0239	0	-0.331601	0.94342	0	None	None
ChainingRodShaped	5140	2.25911	0.5	-21.4665	47.9664	0	-0.305865	-0.952075	0	None	None
ChainingRodShaped	5074	2.81024	0.5	-39.8349	49.782	0	0.979578	-0.201065	0	None	None
