cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	21306	3.84938	0.5	21.1667	-59.8984	0	0.830143	0.55755	0	None	None
ChainingRodShaped	17254	3.8893	0.5	-310.866	66.386	0	-0.457431	0.889245	0	17255	None
ChainingRodShaped	21912	3.04486	0.5	-5.19722	177.988	0	0.31025	0.950655	0	21913	15841
ChainingRodShaped	25878	3.08235	0.5	82.3841	8.47731	0	-0.80985	-0.586636	0	None	None
ChainingRodShaped	33370	2.07931	0.5	61.0164	-42.2537	0	-0.0117166	-0.999931	0	None	None
ChainingRodShaped	20380	3.77421	0.5	82.4348	-25.0985	0	-0.189311	-0.981917	0	20381	31037
ChainingRodShaped	16768	4.3913	0.5	44.7581	-55.6394	0	0.869451	-0.49402	0	None	None
ChainingRodShaped	20594	4.18104	0.5	85.6578	45.0374	0	0.256645	-0.966506	0	None	None
ChainingRodShaped	31764	2.3175	0.5	-5.23284	26.7032	0	0.0236005	0.999721	0	None	None
ChainingRodShaped	11612	4.55549	0.5	-142.534	-17.231	0	0.253206	-0.967412	0	11613	20603
ChainingRodShaped	32216	2.29447	0.5	58.7765	111.726	0	0.600314	-0.799765	0	None	None
ChainingRodShaped	16016	4.4289	0.5	87.1585	76.3751	0	0.450933	-0.892558	0	16017	31543
ChainingRodShaped	26208	3.30236	0.5	-134.356	10.2853	0	-0.666844	0.745198	0	None	None
ChainingRodShaped	15838	4.67311	0.5	83.2626	27.6426	0	0.751234	-0.660036	0	None	None
ChainingRodShaped	29358	2.31512	0.5	-10.3176	153.671	0	-0.973721	0.227743	0	29359	19349
ChainingRodShaped	16862	4.04073	0.5	51.3732	1.65447	0	-0.0698073	-0.99756	0	None	None
ChainingRodShaped	25526	3.08997	0.5	70.0324	97.974	0	0.657677	-0.7533	0	None	None
ChainingRodShaped	33446	2.06445	0.5	-153.781	163.694	0	-0.984143	0.177376	0	33447	28565
ChainingRodShaped	21776	4.11401	0.5	-35.3276	58.4739	0	0.0416308	-0.999133	0	None	None
ChainingRodShaped	29204	2.35672	0.5	10.4664	-22.3091	0	0.928927	-0.370264	0	None	None
ChainingRodShaped	31506	2.37582	0.5	2.0919	36.8224	0	0.974834	-0.222931	0	None	None
ChainingRodShaped	24574	3.43423	0.5	13.7922	41.578	0	0.949856	-0.312688	0	None	None
ChainingRodShaped	24054	3.09172	0.5	42.7326	38.583	0	-0.268997	0.963141	0	None	None
ChainingRodShaped	21474	4.16414	0.5	11.4886	-2.95231	0	-0.213031	-0.977045	0	None	None
ChainingRodShaped	33600	2.02762	0.5	38.9927	-89.0851	0	-0.74894	0.662638	0	33601	20579
ChainingRodShaped	24114	2.88088	0.5	-16.7227	12.6432	0	0.999999	-0.00128267	0	None	None
ChainingRodShaped	12372	4.6235	0.5	-204.748	-65.1798	0	0.582089	0.813125	0	23378	17339
ChainingRodShaped	16048	4.85161	0.5	19.5667	134.023	0	-0.831029	0.55623	0	16049	14431
ChainingRodShaped	20894	3.86284	0.5	-4.52438	15.6728	0	0.139112	0.990277	0	None	None
ChainingRodShaped	26096	3.6866	0.5	-32.8869	59.2358	0	0.0913936	-0.995815	0	None	None
ChainingRodShaped	14998	4.00348	0.5	130.943	218.497	0	-0.939874	-0.34152	0	27412	28907
ChainingRodShaped	21984	3.40068	0.5	31.3486	-65.2692	0	-0.620799	-0.78397	0	None	None
ChainingRodShaped	16964	4.17559	0.5	89.4348	11.0625	0	-0.877962	-0.47873	0	29824	15601
ChainingRodShaped	15852	4.48634	0.5	53.9625	39.3155	0	0.262652	-0.96489	0	None	None
ChainingRodShaped	17954	4.47782	0.5	-8.3023	38.2594	0	0.161015	0.986952	0	None	None
ChainingRodShaped	33324	2.07434	0.5	-53.1234	-32.1365	0	-0.98249	0.186314	0	None	None
ChainingRodShaped	25178	3.76289	0.5	-126.894	12.754	0	-0.636577	0.771213	0	None	None
ChainingRodShaped	19930	3.66001	0.5	-134.705	-17.4286	0	-0.311103	0.950376	0	None	None
ChainingRodShaped	28852	2.85004	0.5	26.9589	32.8257	0	-0.104966	0.994476	0	None	None
ChainingRodShaped	27964	2.73346	0.5	-110.067	105.057	0	0.806507	0.591224	0	None	None
ChainingRodShaped	19904	4.79149	0.5	-59.6408	9.32104	0	0.041945	-0.99912	0	None	None
ChainingRodShaped	16824	3.74243	0.5	-74.7269	-20.7055	0	-0.722253	-0.691628	0	None	None
ChainingRodShaped	18142	3.49513	0.5	82.4374	77.9244	0	-0.420179	0.907441	0	None	None
ChainingRodShaped	26488	2.72667	0.5	122.062	20.956	0	-0.702418	-0.711765	0	26489	13281
ChainingRodShaped	24942	2.83104	0.5	33.5305	53.0815	0	-0.00488286	0.999988	0	None	None
ChainingRodShaped	24404	4.15495	0.5	-47.8192	85.3128	0	0.936258	0.351313	0	None	None
ChainingRodShaped	16030	4.28301	0.5	52.7381	7.47817	0	0.43131	-0.902204	0	None	None
ChainingRodShaped	31786	2.2935	0.5	107.306	15.8921	0	0.98925	-0.146235	0	31787	30079
ChainingRodShaped	18410	3.89721	0.5	-47.4726	7.92118	0	0.859009	0.51196	0	None	None
ChainingRodShaped	12758	4.74206	0.5	-101.635	165.293	0	0.763591	-0.645701	0	12759	22441
ChainingRodShaped	21994	3.19656	0.5	-33.3373	58.9522	0	0.081565	-0.996668	0	None	None
ChainingRodShaped	13034	4.25211	0.5	177.987	-0.481828	0	0.0514665	0.998675	0	31278	18217
ChainingRodShaped	29194	2.87389	0.5	-9.7435	-58.813	0	0.42331	0.905985	0	None	None
ChainingRodShaped	22590	3.39204	0.5	-14.6769	-117.393	0	0.423761	0.905774	0	22591	9667
ChainingRodShaped	25182	3.57193	0.5	18.4678	-55.8834	0	0.792475	0.609905	0	None	None
ChainingRodShaped	26162	2.93118	0.5	-136.417	82.8496	0	-0.449727	-0.893166	0	26163	13411
ChainingRodShaped	28782	2.3929	0.5	123.463	254.324	0	-0.893264	0.449532	0	28783	28445
ChainingRodShaped	11748	4.92261	0.5	-129.791	-26.0556	0	-0.745992	0.665955	0	22476	31229
ChainingRodShaped	19130	3.99496	0.5	-107.881	108.463	0	0.168044	0.98578	0	None	None
ChainingRodShaped	27912	2.54519	0.5	75.7786	-37.1811	0	0.68338	0.730063	0	None	None
ChainingRodShaped	16608	4.18469	0.5	-175.178	-49.7226	0	-0.994845	-0.10141	0	16609	14091
ChainingRodShaped	13218	4.27206	0.5	13.0404	-139.943	0	0.299347	0.954144	0	13219	18863
ChainingRodShaped	26896	3.39974	0.5	-43.5943	-37.2123	0	-0.936109	0.351709	0	None	None
ChainingRodShaped	19828	4.40607	0.5	-41.3321	14.1388	0	0.965928	0.258809	0	None	None
ChainingRodShaped	30150	2.55008	0.5	-72.1729	53.3165	0	-0.623927	0.781483	0	None	None
ChainingRodShaped	31396	2.18911	0.5	-45.9963	67.1574	0	-0.189704	-0.981841	0	None	None
ChainingRodShaped	16828	4.08778	0.5	-136.831	35.8094	0	0.740985	0.671522	0	None	None
ChainingRodShaped	20958	3.3344	0.5	-3.0153	122.26	0	0.808498	0.588499	0	None	None
ChainingRodShaped	33026	2.13003	0.5	-39.8132	3.37551	0	0.567226	0.823562	0	None	None
ChainingRodShaped	23758	3.23697	0.5	32.5489	103.308	0	0.919276	-0.393613	0	None	None
ChainingRodShaped	26154	3.79635	0.5	-22.8184	36.785	0	-0.238579	0.971123	0	None	None
ChainingRodShaped	28104	2.88936	0.5	76.0749	40.3158	0	0.549626	0.835411	0	None	None
ChainingRodShaped	31184	2.20464	0.5	-64.3131	-0.0596177	0	0.432497	0.901635	0	None	None
ChainingRodShaped	28894	2.56292	0.5	146.139	112.058	0	-0.994733	-0.102502	0	28895	17305
ChainingRodShaped	28904	2.49152	0.5	6.56684	129.632	0	-0.377503	-0.926008	0	None	None
ChainingRodShaped	29734	2.29022	0.5	83.7304	85.0603	0	-0.459319	0.888272	0	29735	20663
